source_index,source_label,label,stimulus_index,stimulus_s,annotation_onset_s,annotation_duration_ms,polarity,start_s,end_s,start_latency_ms,peak_latency_ms,end_latency_ms,duration_ms,peak_width_ms,min_amplitude,max_amplitude,signed_peak_amplitude,absolute_peak_amplitude,p2p_amplitude,prominence,auc_abs,rms,baseline_median,baseline_noise,amplitude_noise_ratio,p2p_noise_ratio,prominence_noise_ratio,bounds_inferred,component_rank,included_in_calibration,exclusion_reason,er_to_mr_ms,mr_to_lr_ms,auto_label
81,mr_auto,mr,366,322.488495,322.506,2.750000000048658,-1,322.506,322.50875,17.50499999997146,19.004999999992833,20.255000000020118,2.750000000048658,1.8180692677824664,-0.754218730609864,-0.47609374253079295,-0.754218730609864,0.754218730609864,0.27812498807907104,0.2565624713897705,1.805546858930029,0.6491114598297834,-0.015781250316649675,0.13088577862652018,5.76241925230098,2.12494429110358,1.960201284525083,False,1,True,,4.750000000001364,,mr_auto
82,lr_auto,lr,366,322.488495,322.513,5.250000000046384,1,322.513,322.51825,24.504999999976462,26.504999999986012,29.755000000022847,5.250000000046384,3.826395861778376,0.667656269390136,0.7948437598533928,0.7948437598533928,0.7948437598533928,0.12718749046325684,0.10062503814697266,3.989531224244274,0.7571659081886737,-0.015781250316649675,0.13088577862652018,6.072804610204924,0.9717441558428106,0.7688003937700832,False,1,True,,,7.499999999993179,lr_auto
83,er_auto,er,367,322.988739,323.00125,3.249999999979991,1,323.00125,323.0045,12.511000000017702,15.011000000015429,15.760999999997694,3.249999999979991,1.695730160494017,0.08093749731779099,0.3606249913573265,0.3606249913573265,0.3606249913573265,0.2796874940395355,0.10656249523162842,0.987109387293458,0.3017217299328611,0.18312499672174454,0.11420652727335691,3.157656571538676,2.448962425502132,0.9330683436032315,False,1,True,,,,er_auto
84,mr_auto,mr,367,322.988739,323.00625,2.7499999999918145,-1,323.00625,323.009,17.511000000013155,18.760999999983596,20.26100000000497,2.7499999999918145,1.8752377652791432,-1.7728124633431435,-1.4825000539422035,-1.7728124633431435,1.7728124633431435,0.29031240940093994,0.26812493801116943,4.610976545140147,1.6643149128579644,0.18312499672174454,0.11420652727335691,15.522864635397426,2.5419948958439833,2.3477199106965574,False,1,True,,3.7499999999681677,,mr_auto
85,lr_auto,lr,367,322.988739,323.0165,2.7499999999918145,1,323.0165,323.01925,27.76099999999815,29.01099999996859,30.510999999989963,2.7499999999918145,1.7369528173556854,0.19812499731779099,0.2628125175833702,0.2628125175833702,0.2628125175833702,0.06468752026557922,0.06062501668930054,0.6573828291147947,0.23683069973158571,0.18312499672174454,0.11420652727335691,2.3012040017145448,0.5664082588795263,0.5308367055430436,False,1,True,,,10.249999999984993,lr_auto
86,er_auto,er,372,325.488495,325.503,1.5000000000213731,1,325.503,325.5045,14.504999999985557,15.505000000018754,16.00500000000693,1.5000000000213731,0.802789579878295,0.0534374937415123,0.33687499910593033,0.33687499910593033,0.33687499910593033,0.28343750536441803,0.2031250037252903,0.3527734335511923,0.2337508037657019,-0.1603124961256981,0.12439941464513539,2.708011127439045,2.278447259361777,1.6328453337560256,False,1,True,,,,er_auto
87,mr_auto,mr,372,325.488495,325.506,2.5000000000545697,-1,325.506,325.5085,17.50499999997146,18.505000000004657,20.00500000002603,2.5000000000545697,1.6073492946827845,-1.4343749657273293,-1.184999980032444,-1.4343749657273293,1.4343749657273293,0.24937498569488525,0.23093748092651367,3.359960962086916,1.3331614175920588,-0.1603124961256981,0.12439941464513539,11.530399639090426,2.0046315041454017,1.8564193536222915,False,1,True,,2.999999999985903,,mr_auto
88,lr_auto,lr,372,325.488495,325.5365,1.7500000000154614,1,325.5365,325.53825,48.004999999989195,49.00500000002239,49.75500000000466,1.7500000000154614,0.9123207161907236,-0.05562499910593033,-0.014375008642673492,-0.014375008642673492,0.05562499910593033,0.041249990463256836,0.03125,0.0526562575250864,0.03515278123922416,-0.1603124961256981,0.12439941464513539,0.447148399086985,0.3315931234960189,0.25120696981689555,False,1,True,,,30.500000000017735,lr_auto
89,lr_auto,lr,372,325.488495,325.54275,2.4999999999977263,1,325.54275,325.54525,54.25500000001193,55.504999999982374,56.75500000000966,2.4999999999977263,1.65490173675558,-0.12687499076128006,-0.10687500983476639,-0.10687500983476639,0.12687499076128006,0.019999980926513672,0.017499983310699463,0.2832031287252903,0.1146014666299878,-0.1603124961256981,0.12439941464513539,1.019900223190009,0.1607723073582466,0.14067576893846578,False,2,True,,,36.99999999997772,lr_auto
90,er_auto,er,382,330.488495,330.5015,3.7499999999681677,1,330.5015,330.50525,13.005000000021028,14.754999999979646,16.754999999989195,3.7499999999681677,2.2362551768577927,0.4804687350988388,0.6485937386751175,0.6485937386751175,0.6485937386751175,0.1681250035762787,0.1421874761581421,2.207968734204769,0.585193992755691,-0.13859374821186066,0.13621387212797997,4.761583593084632,1.2342722583960946,1.0438545937857902,False,1,True,,,,er_auto
